,accuracy,database_address,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
4338,ROOFTOP,10 DORRANCE ST,"10 Dorrance St, Providence, RI 02903, USA",ChIJ15qWAxRF5IkRPdafpjYhBRU,10 DORRANCE ST,41.8239722,-71.4118003,2,02903,OK,premise
4339,ROOFTOP,10 DORRANCE ST,"10 Dorrance St, Providence, RI 02903, USA",ChIJ15qWAxRF5IkRPdafpjYhBRU,10 DORRANCE ST,41.8239722,-71.4118003,2,02903,OK,premise
4340,ROOFTOP,10 DORRANCE ST,"10 Dorrance St, Providence, RI 02903, USA",ChIJ15qWAxRF5IkRPdafpjYhBRU,10 DORRANCE ST,41.8239722,-71.4118003,2,02903,OK,premise
4341,ROOFTOP,1 SABIN ST,"1 Sabin St, Providence, RI 02903, USA",ChIJGyrBEBJF5IkR1LImGt2Qk-U,1 SABIN ST,41.8242531,-71.4169345,2,02903,OK,street_address
4342,ROOFTOP,1 SABIN ST,"1 Sabin St, Providence, RI 02903, USA",ChIJGyrBEBJF5IkR1LImGt2Qk-U,1 SABIN ST,41.8242531,-71.4169345,2,02903,OK,street_address
4343,ROOFTOP,100 GASPEE ST,"100 Gaspee St, Providence, RI 02903, USA",ChIJTRUuoRBF5IkRo7vXXQv8_f8,100 GASPEE ST,41.8292199,-71.413331,1,02903,OK,premise
4344,ROOFTOP,99 KENNEDY PLZ,"99 Kennedy Plaza, Providence, RI 02903, USA",ChIJR7wUVRFF5IkR019VLu6PGQo,99 KENNEDY PLZ,41.824537,-71.41223699999999,1,02903,OK,street_address
4345,ROOFTOP,164 SUMMIT AVE,"164 Summit Ave, Providence, RI 02906, USA",ChIJf-Jhk8ZE5IkRkMHLA05R6kE,164 SUMMIT AVE,41.851722,-71.398257,4,02906,OK,street_address
4346,ROOFTOP,164 SUMMIT AVE,"164 Summit Ave, Providence, RI 02906, USA",ChIJf-Jhk8ZE5IkRkMHLA05R6kE,164 SUMMIT AVE,41.851722,-71.398257,4,02906,OK,street_address
4347,ROOFTOP,164 SUMMIT AVE,"164 Summit Ave, Providence, RI 02906, USA",ChIJf-Jhk8ZE5IkRkMHLA05R6kE,164 SUMMIT AVE,41.851722,-71.398257,4,02906,OK,street_address
4348,ROOFTOP,7 PROVIDENCE PL,"7 Providence Pl, Providence, RI 02903, USA",ChIJx5aVaBBF5IkRvTLb-YKRJrE,7 PROVIDENCE PL,41.828897,-71.415913,1,02903,OK,street_address
4349,ROOFTOP,165 WASHINGTON ST,"165 Washington St, Doylestown, PA 18901, USA",ChIJrQCFOheoxokRhU3fxb4qQOU,165 WASHINGTON ST,40.3046319,-75.1362601,2,18901,OK,street_address
4350,ROOFTOP,165 WASHINGTON ST,"165 Washington St, Doylestown, PA 18901, USA",ChIJrQCFOheoxokRhU3fxb4qQOU,165 WASHINGTON ST,40.3046319,-75.1362601,2,18901,OK,street_address
